skn,ncei_id,station_name,station_id,nws_sid,island,network,elevation,latitude,longitude,start_year,end_year,rf,ta,rh,ws,sw,lw,observer,data_source,edit_notes,nwsli,nesdis_id,name_hads,hads_elev,owner_code_hads,vars_hads,latitude_d_hads,longitude_d_hads,match_notes,name_ncei,mindate_ncei,maxdate_ncei,latitude_ncei,longitude_ncei,name_scan,id_scan,latitude_scan,longitude_scan,nws_kk_name,kk_nws_match_notes,name,nws_id,nws_name
178.7,NA,Kalahikiola,178.7,NA,Bi,State,841,20.14693375,-155.8038817,1963,1982,RF,NA,NA,NA,NA,NA,KAHUA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kalahikiola,NA,NA
178.8,NA,Puu Aiea,178.8,NA,Bi,State,930,20.12193553,-155.7994379,1962,1983,RF,NA,NA,NA,NA,NA,KAHUA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Aiea,NA,NA
178.9,NA,Puu Kaakihi,178.9,NA,Bi,State,768,20.13665693,-155.8122148,1968,1983,RF,NA,NA,NA,NA,NA,KAHUA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Kaakihi,NA,NA
179,NA,Niulii,179,NA,Bi,State,23,20.22192578,-155.7438821,1884,1975,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Niulii,NA,NA
179.1,NA,Kohala,179.1,NA,Bi,State,95,20.23025973,-155.7788808,1889,1971,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kohala,NA,NA
179.3,USC00518086,POLOLU LOOKOUT 179.3,518086,NA,Bi,COOP,149,20.20694,-155.73778,1997,2017,RF,NA,NA,NA,NA,NA,COOP,NCEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POLOLU LOOKOUT 179.3, HI US",6/1/1997,7/31/2018,20.2038,-155.735,NA,NA,NA,NA,NA,NA,POLOLU LOOKOUT 179.3,NA,NA
180.1,NA,Station 18,180.1,NA,Bi,State,130,20.21526056,-155.7655482,1933,1968,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Station 18,NA,NA
181,NA,Makapala Nursery,181,NA,Bi,State,494,20.18359648,-155.7622156,1925,1952,RF,NA,NA,NA,NA,NA,STATE DIV FTRY,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Makapala Nursery,NA,NA
181.1,NA,Honokane,181.1,NA,Bi,State,244,20.14526612,-155.7305504,1905,1972,RF,NA,NA,NA,NA,NA,KOHALA DITCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honokane,NA,NA
181.2,NA,Kehena,181.2,NA,Bi,State,1171,20.11860157,-155.7488837,1912,1975,RF,NA,NA,NA,NA,NA,KOHALA DITCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kehena,NA,NA
182,NA,Station 12,182,NA,Bi,State,305,20.19526187,-155.7505491,1943,1969,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Station 12,NA,NA
182.1,NA,Awini,182.1,NA,Bi,State,570,20.16859722,-155.7122172,1905,1973,RF,NA,NA,NA,NA,NA,KOHALA DITCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Awini,NA,NA
183,NA,Station 19,183,NA,Bi,State,287,20.19526181,-155.7472159,1948,1952,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Station 19,NA,NA
183.1,NA,Puu Ahia,183.1,NA,Bi,State,1329,20.09193666,-155.7455507,1942,1982,RF,NA,NA,NA,NA,NA,KAHUA RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Ahia,NA,NA
183.2,NA,East Honokane,183.2,NA,Bi,State,1293,20.10693559,-155.7105514,1925,1971,RF,NA,NA,NA,NA,NA,KOHALA DITCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,East Honokane,NA,NA
183.3,NA,Station 30,183.3,NA,Bi,State,241,20.20359461,-155.7572154,1966,1968,RF,NA,NA,NA,NA,NA,KOHALA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Station 30,NA,NA
183.9,NA,Keawewai Fort Fn,183.9,NA,Bi,State,1436,20.08749249,-155.7361066,1969,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keawewai Fort Fn,NA,NA
184.1,NA,Kaukini,184.1,NA,Bi,State,622,20.15859804,-155.6922177,1924,1966,RF,NA,NA,NA,NA,NA,KOHALA DITCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaukini,NA,NA
184.2,NA,Awini Ranch,184.2,NA,Bi,State,335,20.18026269,-155.7138836,1896,1905,RF,NA,NA,NA,NA,NA,AWINI RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Awini Ranch,NA,NA
185,NA,Kawainui Upper,185,NA,Bi,State,1244,20.08360377,-155.6772192,1907,1948,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kawainui Upper,NA,NA
185.3,NA,Honokane-P Ranch,185.3,NA,Bi,State,229,20.13026775,-155.6305525,1936,1938,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Honokane-P Ranch,NA,NA
185.4,NA,Upp Hamakua Dit,2.01E+13,NA,BI,USGS,1226,20.08443705,-155.6749971,1964,1991,RF,NA,NA,NA,NA,NA,USGS,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Upp Hamakua Dit,NA,NA
185.5,NA,Waimanu,2.01E+14,NA,BI,USGS,5,20.1375,-155.6480556,1992,1993,RF,NA,NA,NA,NA,NA,USGS,USGS;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waimanu,NA,NA
185.7,NA,Kawainui,2.01E+14,KWSH1,BI,USGS,1237,20.08833333,-155.6816667,2002,2017,RF,NA,NA,NA,NA,NA,USGS,USGS;RF_Atlas,NA,KWSH1,DDF6A592,KAWAINUI STREAM NEAR WAIMEA 4NNW,4810,USGS01,HG PC VB,20.0853,-155.681,"manually matched HADS station to SKN by proximity, station name similarity, and hads owner code to network",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kawainui,KWSH1, Kawainui Stream (USGS)      
189,NA,Waimea Plain,SCAN2099,NA,Bi,SCAN,927,20.01666667,-155.6,2005,2017,RF,Ta,RH,WS,SW,NA,SCAN,SCAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waimea Plain,NA,NA
190,NA,Alakahi Upper,190,NA,Bi,State,1177,20.070081,-155.669952,1913,1948,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alakahi Upper,NA,NA
190.11,NA,Alakahi,190.11,NA,Bi,State,1088,20.06943785,-155.6697196,1961,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alakahi,NA,NA
190.4,NA,Keanuiomano Str,2.00E+14,NA,BI,USGS,735,20.02749611,-155.6980529,1968,1991,RF,NA,NA,NA,NA,NA,USGS,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keanuiomano Str,NA,NA
190.5,NA,Waikoloa Res,190.5,NA,Bi,State,1009,20.03805076,-155.6755531,1969,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waikoloa Res,NA,NA
190.7,NA,Kohakohau 8,190.7,NA,BI,USGS,780,20.02638493,-155.6869419,1976,1979,RF,NA,NA,NA,NA,NA,USGS,USGS;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kohakohau 8,NA,NA
190.8,NA,Alakahi-P Ranch,190.8,NA,Bi,State,1232,20.07332656,-155.6758305,1970,1977,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alakahi-P Ranch,NA,NA
190.9,NA,High Pressure,190.9,NA,Bi,State,1296,20.08138167,-155.686108,1970,1977,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High Pressure,NA,NA
191,USC00513078,Waimea-Kohala Ap,PHMU,NA,Bi,ASOS_AWOS,813,19.99694201,-155.6738868,1953,1971,RF,NA,NA,NA,NA,NA,HAWN AIRLINES,RF_Atlas;HSCO,"deleted duplicate error record of duplicate station with inccorect SKN 947 NAME: 'WAIMEA', network:ASOS_AWOS; changed network from: State to: ASOS_AWOS ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waimea-Kohala Ap,NA,NA
191.1,USC00515260,LALAMILO FLD OF 191.1,515260,NA,Bi,COOP,799,20.01083015,-155.6763867,1965,2016,RF,Ta,NA,NA,NA,NA,DOWALD,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LALAMILO FIELD OF 191.1, HI US",5/7/1980,9/21/2018,20.013,-155.6686,NA,NA,NA,NA,NA,NA,LALAMILO FLD OF 191.1,NA,NA
191.3,NA,Lalamilo Reserv,191.3,NA,Bi,State,807,20.01305219,-155.6713867,1968,1978,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lalamilo Reserv,NA,NA
191.4,NA,Lalamilo Farm,191.4,NA,Bi,State,799,20.01916302,-155.6769421,1963,1991,RF,NA,NA,NA,NA,NA,UH EXP STA,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lalamilo Farm,NA,NA
191.5,NA,Lalamilo 24,191.5,NA,Bi,State,759,20.005275,-155.6916643,1962,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lalamilo 24,NA,NA
191.6,NA,Lalamilo 35,191.6,NA,Bi,State,726,20.01944098,-155.6958308,1962,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lalamilo 35,NA,NA
192,NA,Waimea,192,NA,Bi,State,838,20.02527342,-155.6588867,1891,1950,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waimea,NA,NA
192.1,NA,Puu Kapu A&F,192.1,NA,Bi,State,875,20.03027288,-155.6405534,1932,1967,RF,NA,NA,NA,NA,NA,STATE DIV FTRY,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Kapu A&F,NA,NA
192.2,NA,Kamuela,192.2,NA,Bi,State,814,20.02027391,-155.66722,1919,1980,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamuela,NA,NA
192.3,NA,Range 1,192.3,NA,Bi,State,701,19.99694241,-155.7138864,1936,1979,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Range 1,NA,NA
192.4,NA,Holoholuku 1,192.4,NA,Bi,State,995,19.97360943,-155.635554,1936,1943,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Holoholuku 1,NA,NA
192.6,NA,Waimea Res,192.6,NA,Bi,State,905,20.04860537,-155.6222202,1960,2001,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waimea Res,NA,NA
192.7,NA,Kamuela Upper,HI-97,KUUH1,BI,Hydronet,949,20.0341,-155.6671,1992,2017,RF,NA,NA,NA,NA,NA,Hydronet,Hydronet;NCEI;RF_Atlas,; Erased NCEI ID: USC00513080 probably co-located COOP station and new SKN should be assigned to hydronet,KUUH1,817075F6,KAMUELA UPPER NEAR KAMUELA 1NNE,2640,NWSPAC,PC,20.0342,-155.667,matched HADS stations to SKN by merge of 'nwsli' to 'nws_SID',NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamuela Upr,matched stations to SKN by station name similarity uzing agrep fuzzy match and manually removed bad match and duplicates,Kamuela Upper,KUUH1, Kamuela Upper (15002)       
192.9,USC00518386,PUUKAPU HMSTD 192.9,518386,NA,Bi,COOP,916,20.0375,-155.6347,2004,2014,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUUKAPU HMSTD 192.9,NA,NA
193,USC00513770,KAWAINUI LOWER 193,513770,NA,Bi,COOP,329,20.08360384,-155.6438866,1910,1994,RF,NA,NA,NA,NA,NA,HAWN IRRIG,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAWAINUI LOWER 193,NA,NA
194,NA,Alakahi Lower,194,NA,Bi,State,256,20.07360432,-155.6388867,1910,1957,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alakahi Lower,NA,NA
194.1,NA,Waikoloa Str,194.1,NA,BI,USGS,1091,20.05193868,-155.6638867,1960,1960,RF,NA,NA,NA,NA,NA,USGS,USGS;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waikoloa Str,NA,NA
194.2,NA,Kohala Mt Pipe L,194.2,NA,Bi,State,1128,20.08027061,-155.6472199,1914,1917,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kohala Mt Pipe L,NA,NA
195,NA,Koiawe Upper,195,NA,Bi,State,1021,20.05193846,-155.6438869,1912,1948,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Koiawe Upper,NA,NA
195.1,NA,Koiawe,195.1,NA,Bi,State,976,20.05721609,-155.634998,1964,1978,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Koiawe,NA,NA
196,USC00514685,KOIAWE LOWER 196,514685,NA,Bi,COOP,220,20.07527098,-155.6305534,1910,1994,RF,NA,NA,NA,NA,NA,HAWN IRRIG,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KOIAWE LOWER 196,NA,NA
197,NA,Waima Lower,197,NA,Bi,State,299,20.06527141,-155.6238869,1913,1957,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waima Lower,NA,NA
198,NA,Muliwai,198,NA,Bi,State,393,20.13193441,-155.6138861,1931,1936,RF,NA,NA,NA,NA,NA,STATE DIV FTRY,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Muliwai,NA,NA
199,USC00514928,KUKUIHAELE HIC 199,514928,NA,Bi,COOP,299,20.11526922,-155.5822202,1905,1994,RF,Ta,NA,NA,NA,NA,HONOKAA SUGAR,NCEI;RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KUKUIHAELE HIC 199,NA,NA
200,NA,Puu Alala,200,NA,Bi,State,878,20.05860505,-155.6188869,1915,1948,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Alala,NA,NA
201,NA,Puu Kapu Res 3,201,NA,Bi,State,860,20.03693958,-155.5988871,1921,1949,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Kapu Res 3,NA,NA
201.2,USC00513072,KAMUELA 1 201.2,513072,NA,Bi,COOP,878,20.0392,-155.6085,1964,2017,RF,NA,NA,NA,NA,NA,HAES,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAMUELA 1 201.2,NA,NA
201.3,NA,Kamuela 1,HI-86,KMUH1,BI,Hydronet,878,20.0392,-155.6085,1991,2017,RF,NA,NA,NA,NA,NA,Hydronet,Hydronet;RF_Atlas,"changed name from ""Kamuela"" confirmed skn from AF",KMUH1,81706680,KAMUELA #1 NEAR KAMUELA 4ENE,2630,NWSPAC,PC,20.0392,-155.609,matched HADS stations to SKN by merge of 'nwsli' to 'nws_SID',NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamuela,matched stations to SKN by station name similarity uzing agrep fuzzy match and manually removed bad match and duplicates,Kamuela 1,KMUH1, Kamuela (15005)             
202,NA,Lalakea,202,NA,Bi,State,596,20.088604,-155.5872204,1917,1956,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lalakea,NA,NA
202.1,NA,Field 114,202.1,NA,Bi,State,477,20.09693675,-155.5705539,1952,1983,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Field 114,NA,NA
203,NA,Second Gate,203,NA,Bi,State,872,20.03860634,-155.5872205,1910,1978,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second Gate,NA,NA
203.1,NA,Kamoku,203.1,NA,Bi,State,854,20.04360641,-155.5588876,1976,1983,RF,NA,NA,NA,NA,NA,HAWN HOMELANDS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kamoku,NA,NA
203.2,NA,Puu Pulehu Res,203.2,NA,Bi,State,841,20.03943944,-155.6005537,1976,2001,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Pulehu Res,NA,NA
203.3,NA,Puukapu FC Dam,203.3,NA,Bi,State,866,20.03916168,-155.5999982,1982,1983,RF,NA,NA,NA,NA,NA,DOWALD,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puukapu FC Dam,NA,NA
204,NA,Puu Kikoni,204,NA,Bi,State,951,20.00527497,-155.5772207,1920,1949,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Kikoni,NA,NA
204.2,NA,Puu Kapu,204.2,NA,Bi,State,947,19.99833055,-155.5997205,1976,1983,RF,NA,NA,NA,NA,NA,HAWN HOMELANDS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Puu Kapu,NA,NA
204.3,USC00518384,PUUKAPU 204.3,518384,NA,Bi,COOP,988,19.983,-155.6,1995,1997,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PUUKAPU 204.3,NA,NA
205,NA,Kukuihaele Vill,205,NA,Bi,State,229,20.11693552,-155.5672204,1891,1964,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kukuihaele Vill,NA,NA
206,NA,Kukuihaele Landg,206,NA,Bi,State,91,20.12526779,-155.5588871,1891,1993,RF,NA,NA,NA,NA,NA,DAVIS HAMAKUA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kukuihaele Landg,NA,NA
206.1,USC00514927,KUKUIHAELE 206.1,514927,NA,Bi,COOP,226,20.12167,-155.57417,1994,2006,RF,NA,NA,NA,NA,NA,COOP,NCEI;RF_Atlas,"deleted dup record with same NAME SKN, & NCEI ID, but less percise (lat: 20.119 ; long: -155.562)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KUKUIHAELE 206.1,NA,NA
207,NA,Ahualoa Homestds,207,NA,Bi,State,777,20.04916167,-155.5105551,1912,1948,RF,NA,NA,NA,NA,NA,HAWN IRRIG,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ahualoa Homestds,NA,NA
208,NA,Waikoloa Stream,208,NA,Bi,State,297,20.10249152,-155.5444431,1965,1970,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Waikoloa Stream,NA,NA
209,NA,Anuenue,209,NA,Bi,State,448,20.09193655,-155.5311101,1965,1970,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anuenue,NA,NA
210,NA,Kapulena,210,NA,Bi,State,280,20.09776916,-155.5188882,1917,1975,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kapulena,NA,NA
211,NA,Reservoir 13,211,NA,Bi,State,462,20.08304812,-155.5138886,1917,1960,RF,NA,NA,NA,NA,NA,HONOKAA SUGAR,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reservoir 13,NA,NA
211.2,NA,Fld 11 Honokaa,211.2,NA,Bi,State,561,20.07304887,-155.5038889,1972,1975,RF,NA,NA,NA,NA,NA,SCS-ARS,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fld 11 Honokaa,NA,NA
212,NA,First Gate,212,NA,Bi,State,771,20.04860618,-155.5138884,1910,1981,RF,NA,NA,NA,NA,NA,PARKER RANCH,RF_Atlas;HSCO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,First Gate,NA,NA
